Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,..,4.4,71.5,97.7,97.7,93.4,97.7,97.7,97.7,85.3,85.3,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,100,99.4,100,99.9,99.9,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,..,98.6,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,..,24.2,42,41.8,42.9,45.3,45.6,47,48.2,48.5,51.1,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,95.7630462646484,97.7,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,92.1548004150391,95.7,99.7,99.9,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,..,98.9,100,99.8,99.7,99.9,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,100,91.7,100,100,100,100,100,100,100,99.9,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,..,98.9,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,99.9413986206055,100,100,100,100,100,100,100,100,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,..,32,74,75.9,88,86.9,92.2,96.2,99,99.4,99.5,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,99.9842529296875,100,100,100,100,100,100,100,100,100,100,..
